"","WRB_2006_NAME","FAO_1974_NAME"
"38","Brunic Arenosols","Cambic Arenosols"
"60","Carbic Podzols","Humic Podzols"
"62","Cryic Histosols","Gelic Histosols"
"81","Endogleyic Cambisols","Gleyic Cambisols"
"156","Gleyic Albeluvisols","Gleyic Podzoluvisols"
"185","Haplic Acrisols","Orthic Acrisols"
"195","Haplic Ferralsols","Orthic Ferralsols"
"199","Haplic Kastanozems","Orthic Kastanozems"
"202","Haplic Luvisols","Orthic Luvisols"
"204","Haplic Phaeozems","Haplic Greyzems"
"207","Haplic Podzols","Orthic Podzols"
"209","Haplic Solonchaks","Orthic Solonchaks"
"210","Haplic Solonetz","Orthic Solonetz"
"247","Hypoluvic Arenosols","Luvic Arenosols"
"360","Plinhtic Acrisols","Plinthic Acrisols"
"379","Rustic Podzols","Ferric Podzols"
"396","Stagnic Acrisols","Humic Acrisols"
